NO.,DATE,IV No.,PO No.,PC Job,SUPPLIER,ID,qty,UNIT/Price
,1/1/21,ยกยอด64,,,,SALR2012202440,23,2600
,1/1/21,ยกยอด64,,,,SB0612202440,15,712.5
,1/1/21,ยกยอด64,,,,SEG1012202440,310,1215.76
,1/1/21,ยกยอด64,,,,SEG1212202440,183,1470.56
,1/1/21,ยกยอด64,,,,SEG1612202440,141,1916.2
,1/1/21,ยกยอด64,,,,SEG1612203000,47,2332.2
,1/1/21,ยกยอด64,,,,SEG2012202440,60,2395.12
,1/1/21,ยกยอด64,,,,SEG2012203000,137,2772.42
,1/1/21,ยกยอด64,,,,SEG2312202440,45,2880.36
,1/1/21,ยกยอด64,,,,SEG2312203000,38,3566.16
,1/1/21,ยกยอด64,,,,SEG2612202440,2,2395.12
,1/1/21,ยกยอด64,,,,SEG3012202440,36,3598.4
,1/1/21,ยกยอด64,,,,SEG3012203000,59,4509.44
,1/1/21,ยกยอด64,,,,SF30406000,6,0
,1/1/21,ยกยอด64,,,,SF45406000,6,0
,1/1/21,ยกยอด64,,,,SF45506000,6,0
,1/1/21,ยกยอด64,,,,SF90406000,2,0
,1/1/21,ยกยอด64,,,,SGI1212202440,3,1199.7
,1/1/21,ยกยอด64,,,,SGI1512202440,9,1522.2
,1/1/21,ยกยอด64,,,,SGI2012202440,16,1155
,1/1/21,ยกยอด64,,,,SGI3012202440,15,2350
,1/1/21,ยกยอด64,,,,SHB601001006000,9,246.6666
,1/1/21,ยกยอด64,,,,SI702001006000,6,724.166
,1/1/21,ยกยอด64,,,,SK10226000,25,17.5
,1/1/21,ยกยอด64,,,,SK12126000,1.9,15
,1/1/21,ยกยอด64,,,,SK12256000,36,35.83333333
,1/1/21,ยกยอด64,,,,SK12506000,168,183.33333
,1/1/21,ยกยอด64,,,,SK16206000,6,30
,1/1/21,ยกยอด64,,,,SK16256000,38,50
,1/1/21,ยกยอด64,,,,SK20256000,5,38.33
,1/1/21,ยกยอด64,,,,SK23100506000,6,96.6666
,1/1/21,ยกยอด64,,,,SK231006000,24,258.3333333
,1/1/21,ยกยอด64,,,,SK2350256000,3,75
,1/1/21,ยกยอด64,,,,SK2375506000,6,113.33
,1/1/21,ยกยอด64,,,,SK23756000,36,198.3333333
,1/1/21,ยกยอด64,,,,SK32100506000,3,130
,1/1/21,ยกยอด64,,,,SK321006000,1,138.33
,1/1/21,ยกยอด64,,,,SK321501506000,0.8,366.66
,1/1/21,ยกยอด64,,,,SK32506000,31.1,166.67
,1/1/21,ยกยอด64,,,,SKGI12406000,6,36.0516
,1/1/21,ยกยอด64,,,,SL30256000,9,40
,1/1/21,ยกยอด64,,,,SL30406000,141,58.33333333
,1/1/21,ยกยอด64,,,,SL30506000,62,46.6667
,1/1/21,ยกยอด64,,,,SL40406000,16,64.16666667
,1/1/21,ยกยอด64,,,,SL50406000,190,80.83333333
,1/1/21,ยกยอด64,,,,SL50506000,65,112.5
,1/1/21,ยกยอด64,,,,SL701006000,3,200
,1/1/21,ยกยอด64,,,,SL80656000,3.8,161.6667
,1/1/21,ยกยอด64,,,,SO08226000,18,10.83333
,1/1/21,ยกยอด64,,,,SO201006000,4,0
,1/1/21,ยกยอด64,,,,SO20306000,23,0
,1/1/21,ยกยอด64,,,,SO301006000,4,0
,1/1/21,ยกยอด64,,,,SOA28206000,25,93.3333
,1/1/21,ยกยอด64,,,,SOA50656000,3,383.3333333
,1/1/21,ยกยอด64,,,,SPC0812202440,6,457.33
,1/1/21,ยกยอด64,,,,SPC1012202440,177,899.745
,1/1/21,ยกยอด64,,,,SPC1212202440,106,1082.62
,1/1/21,ยกยอด64,,,,SPC1606292142,63,639.2941176
,1/1/21,ยกยอด64,,,,SPC1607292142,107,758.5882353
,1/1/21,ยกยอด64,,,,SPC1608292142,73,864.1176471
,1/1/21,ยกยอด64,,,,SPC1609292142,47,560.25
,1/1/21,ยกยอด64,,,,SPC1612202440,183,1564.345
